id;lat;lng;title;reiting;content_text;address;content;cats
6479;55.986067;37.1478030000001;МСК-НТ;0;Бумага, Стекло, Пластик, Металл;Зеленоградский административный округ, корпус 1409;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6480;55.987464;37.1462289999999;МСК-НТ;0;Бумага, Стекло, Пластик, Металл;Зеленоградский административный округ, корпус 1418;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6481;55.9862128;37.1628525;МСК-НТ;0;Бумага, Стекло, Пластик, Металл;Зеленоградский административный округ, 1462;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6482;55.988151;37.157297;МСК-НТ;0;Бумага, Стекло, Пластик, Металл;Зеленоградский административный округ, корпус 1471;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6483;55.981108;37.148417;МСК-НТ;5;Бумага, Стекло, Пластик, Металл;Зеленоградский административный округ, корпус 1509;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6484;55.98149;37.161105;МСК-НТ;0;Бумага, Стекло, Пластик, Металл;Зеленоградский административный округ, корпус 1522;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6485;55.975473;37.168638;МСК-НТ;1;Бумага, Стекло, Пластик, Металл;Зеленоградский административный округ, корпус 2024;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6487;56.197538;36.964328;"""Кока-Кола"" - ЗПП ""Пларус""";5;Пластик;Вертлинская ул., 9;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";3
6492;55.5685446138981;37.5746142209015;"Волонтёрская акция движения ""РазДельный Сбор"" Бутово";5;Бумага, Стекло, Пластик, Металл, Одежда, Иное, Опасные отходы, Батарейки, Бытовая техника, Тетра Пак;б-р Дмитрия Донского, 6;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash10.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash11.png)"" data-tooltip=""""></span></div>";1_2_3_4_5_6_7_8_10_11
6494;55.5472759924581;37.5444480429306;"Волонтёрская акция движения ""РазДельный Сбор"" Бутово";1;Бумага, Стекло, Пластик, Металл, Одежда, Тетра Пак;Веневская ул., 7;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash11.png)"" data-tooltip=""""></span></div>";1_2_3_4_5_11
6495;55.5335337848932;37.5257976884994;"Волонтёрская акция движения ""РазДельный Сбор"" Бутово";5;Бумага, Стекло, Пластик, Металл, Одежда, Иное, Опасные отходы, Батарейки, Бытовая техника, Тетра Пак;Проектируемый проезд 860, 85с1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash10.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash11.png)"" data-tooltip=""""></span></div>";1_2_3_4_5_6_7_8_10_11
